"Reference","Value","Internal Part Number","PValue","Populated"
"C1","1-0000005","1-0000005","10uF","1"
"C2","1-0000018","1-0000018","1uF","1"
"C3","1-0000007","1-0000007","0.1uF","1"
"C4","1-0000007","1-0000007","0.1uF","1"
"C5","1-0000018","1-0000018","1uF","1"
"C6","1-0000005","1-0000005","10uF","1"
"C7","1-0000007","1-0000007","0.1uF","1"
"C8","1-0000176","1-0000176","10ÂµF","1"
"C9","1-0000007","1-0000007","0.1uF","1"
"C10","1-0000007","1-0000007","0.1uF","1"
"C11","1-0000007","1-0000007","0.1uF","1"
"C12","1-0000007","1-0000007","0.1uF","1"
"C13","1-0000016","1-0000016","4.7nF","1"
"C14","1-0000017","1-0000017","39pF","1"
"C15","1-0000017","1-0000017","39pF","1"
"C16","1-0000018","1-0000018","1uF","1"
"C17","1-0000007","1-0000007","0.1uF","1"
"C18","1-0000007","1-0000007","0.1uF","1"
"C19","1-0000005","1-0000005","10uF","1"
"C20","1-0000007","1-0000007","0.1uF","1"
"C21","1-0000007","1-0000007","0.1uF","1"
"C22","1-0000007","1-0000007","0.1uF","1"
"C23","1-0000007","1-0000007","0.1uF","1"
"C24","1-0000007","1-0000007","0.1uF","1"
"D1","1-0001672","1-0001672","BZX84C15","1"
"D2","1-0001537","1-0001537","SMBJ64A","1"
"D3","1-0000601","1-0000601","Yellow","1"
"D4","1-0000599","1-0000599","Blue","1"
"F1","1-0001547","1-0001547","5A","1"
"FID1","Fiducial_1mm_2mm","0-0000000","Fiducial","0"
"FID2","Fiducial_1mm_2mm","0-0000000","Fiducial","0"
"H1","Imperial4","0-0000000","#4","0"
"H2","Imperial4","0-0000000","#4","0"
"H3","Imperial4","0-0000000","#4","0"
"H4","Imperial4","0-0000000","#4","0"
"J1","NP_Conn_01x02_Relief","0-0000000","NP_Conn_01x02","0"
"J2","NP_Conn_01x02_Relief","0-0000000","NP_Conn_01x02","0"
"J3","NP_Conn_01x06","0-0000000","01x06","0"
"J4","1-0000034","1-0000034","Mini B","1"
"J5","NP_Conn_01x02","0-0000000","NP_Conn_01x02","0"
"J6","NP_Conn_01x04","0-0000000","NP_Conn_01x04","0"
"J7","1-0001156","1-0001156","4 Pos","1"
"J8","NP_Conn_01x04","0-0000000","NP_Conn_01x04","0"
"PCB1","barepcb","3-0000265","Bare PCB","1"
"Q1","1-0001670","1-0001670","SQ2337ES","1"
"Q2","1-0000163","1-0000163","BSS138","1"
"Q3","1-0000163","1-0000163","BSS138","1"
"R1","1-0000174","1-0000174","100k","1"
"R2","1-0001756","1-0001756","37.9k","1"
"R3","1-0000174","1-0000174","100k","1"
"R4","1-0000010","1-0000010","10k","1"
"R5","1-0000010","1-0000010","10k","1"
"R6","1-0000010","1-0000010","10k","1"
"R7","1-0000010","1-0000010","10k","1"
"R8","1-0000010","1-0000010","10k","1"
"R9","1-0000010","1-0000010","10k","1"
"R10","1-0001546","1-0001546","100m","1"
"R11","1-0000009","1-0000009","1M","1"
"R12","1-0000174","1-0000174","100k","1"
"R13","1-0000174","1-0000174","100k","1"
"R14","1-0000006","1-0000006","NP","0"
"R15","1-0000006","1-0000006","0R0","1"
"R16","1-0000006","1-0000006","NP","0"
"R17","1-0000006","1-0000006","0R0","1"
"R18","1-0000009","1-0000009","1M","1"
"R19","1-0000010","1-0000010","10k","1"
"R20","1-0000012","1-0000012","27","1"
"R21","1-0000012","1-0000012","27","1"
"R22","1-0000006","1-0000006","0R0","1"
"R23","1-0000013","1-0000013","1k","1"
"R24","1-0000013","1-0000013","1k","1"
"R25","1-0000006","1-0000006","0R0","1"
"R26","1-0000008","1-0000008","150","1"
"R27","1-0000008","1-0000008","150","1"
"R28","1-0000010","1-0000010","10k","1"
"R29","1-0000010","1-0000010","10k","1"
"R30","1-0000006","1-0000006","NP","0"
"U1","1-0000196","1-0000196","LT1521","1"
"U2","1-0001532","1-0001532","TB6612","1"
"U3","1-0000456","1-0000456","TC4S584F","1"
"U4","1-0000456","1-0000456","TC4S584F","1"
"U5","1-0000452","1-0000452","INA169","1"
"U6","1-0001493","1-0001493","TMP36","1"
"U7","1-0000779","1-0000779","FT231XS","1"
"U8","1-0001755","1-0001755","MB85RS64VPNF","1"
"U9","1-0000207","1-0000207","STM32F103","1"
"Y1","1-0000721","1-0000721","8MHz","1"
